name,id,group,Sales,Attendance ,Screen,Nomal_Attendance,Happy,Surprise,Boring,Sad,Anger,Disgust,Fear
Nineteen,1,drama,212293874,32986,69,478.057971,0.53,0.22,0.07,0.11,0.05,0.02,0.01
300,2,action,18683698500,2929561,402,7287.465174,0.32,0.32,0.05,0.1,0.07,0.1,0.04
1408,3,horror,1641210000,252878,151,1674.688742,0.12,0.15,0.05,0.1,0.03,0.02,0.53
2012,4,sf,39415166660,5462953,789,6923.894804,0.19,0.26,0.17,0.12,0.09,0.04,0.14
007 Sky fall,5,action,17487213000,2376145,748,3176.664439,0.26,0.23,0.17,0.12,0.15,0.02,0.05
007 Casino royale,6,action,6267161700,1012085,334,3030.194611,0.32,0.35,0.08,0.1,0.07,0.03,0.05
007 Quantum of solace,7,action,14366688333,2201300,518,4249.6139,0.32,0.18,0.13,0.18,0.12,0.03,0.04
Amillion,8,thriller,3142668973,438833,252,1741.400794,0.21,0.22,0.13,0.14,0.07,0.08,0.16
127Hours,9,drama,1337550500,180846,233,776.1630901,0.19,0.29,0.16,0.18,0.04,0.06,0.08
13th District,10,action,1416115000,222568,72,3091.222222,0.45,0.26,0.04,0.08,0.08,0.03,0.07
Ted,11,comedy,2034959293,266574,248,1074.895161,0.61,0.13,0.08,0.08,0.07,0.02,0.01
Miracle on 1st street,12,drama,15494122100,2535450,340,7457.205882,0.42,0.28,0.08,0.17,0.03,0.02,0
26Years,13,action,21241327145,2963449,604,4906.372517,0.11,0.11,0.05,0.24,0.19,0.26,0.03
500 Days of summer,14,drama,1064051540,140458,185,759.2324324,0.25,0.41,0.1,0.11,0.09,0.01,0.02
Project 577,15,comedy,695765500,96079,191,503.0314136,0.5,0.28,0.07,0.09,0.04,0.01,0.01
Sector 7,16,sf,19391653500,2242510,812,2761.711823,0.19,0.11,0.1,0.24,0.16,0.12,0.08
My Girl friend is an Agent,17,comedy,26701311856,4088799,475,8607.997895,0.65,0.16,0.06,0.07,0.03,0.02,0.01
The A-Team,18,action,5890424042,791173,330,2397.493939,0.62,0.21,0.05,0.05,0.04,0.01,0.03
Cj7,19,sf,1955693500,312576,234,1335.794872,0.47,0.22,0.07,0.15,0.05,0.04,0
M,20,mystery,2776056500,428717,375,1143.245333,0.19,0.28,0.15,0.17,0.11,0.06,0.04
SeducingMr.perfect,21,meloromance,3990360200,680241,301,2259.936877,0.46,0.14,0.22,0.1,0.06,0.02,0.01
Mr. idol,22,drama,515508500,74261,311,238.7813505,0.52,0.24,0.1,0.07,0.04,0.02,0.01
RIPD,23,action,725451071,101460,268,378.5820896,0.56,0.12,0.1,0.09,0.06,0.02,0.04
The Guardian,24,action,882188000,143126,102,1403.196078,0.21,0.46,0.15,0.11,0.02,0.02,0.05
Rainbow Eyes,25,thriller,2139483000,318614,200,1593.07,0.15,0.41,0.07,0.13,0.05,0.03,0.16
Marring the Mafia 3 : Family Hustle,26,comedy,15996330400,2598859,444,5853.286036,0.41,0.08,0.12,0.16,0.11,0.11,0.01
Un stoppable Family,27,comedy,17792219500,2368267,537,4410.180633,0.39,0.11,0.1,0.17,0.11,0.11,0.01
Marring the Mafia 2 : Enemy-in-Law,28,comedy,28622355500,4529876,351,12905.62963,0.58,0.11,0.1,0.11,0.04,0.05,0
A family,29,drama,8051239500,1270581,104,12217.125,0.07,0.4,0.08,0.41,0.02,0.02,0
Family Ties,30,drama,1225585500,201227,149,1350.516779,0.25,0.39,0.14,0.14,0.05,0.02,0.02
Lump of Sugar,31,drama,7631785700,1265508,228,5550.473684,0.13,0.46,0.11,0.26,0.02,0.01,0.01
The Spies,32,drama,9316548500,1310895,576,2275.859375,0.36,0.12,0.12,0.15,0.12,0.08,0.06
The Flu,33,drama,21784202000,3119023,806,3869.755583,0.27,0.21,0.15,0.12,0.09,0.07,0.09
Never to Lose,34,action,5053205500,828112,174,4759.264368,0.39,0.19,0.1,0.13,0.12,0.03,0.03
Righteous Ties,35,drama,8759204600,1433696,372,3854.021505,0.39,0.25,0.09,0.17,0.05,0.04,0.01
Running Turtle,36,drama,20857347292,3059812,379,8073.382586,0.52,0.2,0.08,0.09,0.03,0.02,0.06
Gulliver's Travels,37,drama,16441355500,1762071,513,3434.836257,0.39,0.09,0.14,0.22,0.09,0.06,0
Black House,38,thriller,8842295700,1322196,332,3982.518072,0.09,0.12,0.06,0.09,0.04,0.09,0.51
Memoirs of a Geisha,39,drama,5337760000,849251,179,4744.418994,0.28,0.38,0.15,0.14,0.03,0.01,0.01
Never Back Down,40,action,783743000,119124,165,721.9636364,0.43,0.21,0.14,0.04,0.13,0.03,0.02
Confessions,41,drama,339334000,43332,36,1203.666667,0.13,0.32,0.06,0.09,0.18,0.07,0.15
Death Bell 2 : Bloody Camp,42,horror,5901045987,872594,320,2726.85625,0.14,0.12,0.07,0.2,0.07,0.12,0.28
Death Bell,43,horror,10299976000,1634051,270,6052.040741,0.15,0.19,0.05,0.1,0.04,0.07,0.4
The Cat,44,horror,4779530000,672071,304,2210.759868,0.08,0.14,0.1,0.14,0.04,0.06,0.45
The Front Line,45,drama,21968557600,2945137,585,5034.422222,0.21,0.3,0.07,0.26,0.07,0.06,0.03
GOAL!,46,drama,69160000,10926,48,227.625,0.26,0.43,0.13,0.08,0.04,0.02,0.04
Another Public Enemy,47,drama,20091142000,3134424,299,10483.02341,0.41,0.18,0.14,0.14,0.08,0.03,0.02
Scandal Makers,48,comedy,53800771400,8223266,408,20155.06373,0.52,0.32,0.05,0.08,0.02,0.01,0
When Romance Meets Destiny,49,comedy,12811265009,2024818,276,7336.297101,0.44,0.24,0.1,0.16,0.03,0.01,0.01
Masquerade,50,historicaldrama,88900208769,12319542,810,15209.31111,0.36,0.4,0.06,0.11,0.03,0.01,0.03
The Host,51,sf,66716104300,10917221,647,16873.60278,0.31,0.27,0.04,0.17,0.03,0.03,0.15
Blades of Blood,52,historicaldrama,10408565262,1407681,509,2765.581532,0.29,0.22,0.09,0.27,0.08,0.03,0.02
Oh! My God,53,comedy,10087308700,1621131,206,7869.567961,0.6,0.13,0.09,0.1,0.03,0.04,0.01
A Bloody Aria,54,comedy,934380300,143061,123,1163.097561,0.14,0.2,0.04,0.11,0.13,0.3,0.09
Take Off,55,drama,60896633308,8487894,580,14634.3,0.27,0.47,0.05,0.12,0.02,0.01,0.06
Good Morning President,56,comedy,18770889320,2583294,586,4408.351536,0.47,0.13,0.19,0.13,0.05,0.02,0.01
Good & Bye,57,drama,885687097,141719,167,848.6167665,0.16,0.39,0.09,0.18,0.02,0.15,0.01
Kid napping Granny K,58,comedy,9807862000,1514708,397,3815.38539,0.6,0.14,0.09,0.08,0.04,0.02,0.03
Ghost House,59,comedy,11898748500,1875936,174,10781.24138,0.38,0.1,0.08,0.14,0.07,0.03,0.2
Too Beautiful to Lie,60,comedy,1859615500,298221,25,11928.84,0.57,0.27,0.07,0.06,0.02,0.01,0
Voice of a Murderer,61,drama,17598617600,2972299,498,5968.471888,0.11,0.15,0.21,0.25,0.1,0.04,0.14
Hewascool,62,comedy,2309055500,372591,77,4838.844156,0.47,0.13,0.04,0.1,0.18,0.08,0
He's Just Not That Into You,63,meloromance,6471531867,949324,354,2681.706215,0.43,0.23,0.16,0.1,0.05,0.02,0.01
Late Blossom,64,drama,12040035000,1645126,242,6798.041322,0.16,0.51,0.03,0.25,0.03,0.01,0
Gravity,65,sf,31486284600,3227647,636,5074.916667,0.17,0.34,0.14,0.13,0.05,0.03,0.15
Gran Torino,66,drama,917074253,136703,109,1254.155963,0.18,0.46,0.07,0.15,0.06,0.05,0.02
Privateeye,67,mystery,12805808556,1914779,387,4947.749354,0.36,0.19,0.1,0.12,0.04,0.05,0.14
Once in a Summer,68,meloromance,1744090200,290564,283,1026.727915,0.1,0.47,0.08,0.32,0.02,0.01,0
Paradise Murdered,69,horror,13328932000,2079989,368,5652.144022,0.16,0.19,0.1,0.1,0.03,0.04,0.39
GLOVE,70,drama,13757574500,1888100,605,3120.826446,0.21,0.5,0.13,0.13,0.02,0,0.01
Crazy Waiting,71,meloromance,2725342667,422363,239,1767.209205,0.5,0.2,0.1,0.12,0.05,0.02,0.01
Master KIMs,72,comedy,5575404600,925661,355,2607.495775,0.42,0.09,0.15,0.15,0.1,0.07,0.01
Be devilled,73,thriller,1272487471,164450,107,1536.915888,0.19,0.17,0.03,0.14,0.16,0.2,0.11
Cast away on the Moon,74,comedy,4796220849,733931,288,2548.371528,0.43,0.27,0.09,0.16,0.03,0.01,0.01
Finding Mr. Destiny,75,meloromance,8271660983,1130638,442,2558.004525,0.52,0.27,0.11,0.06,0.02,0.01,0.01
Le Petit Nicolas,76,family,1365849896,199851,168,1189.589286,0.74,0.17,0.04,0.03,0.01,0.01,0
The Puppet,77,horror,227941500,31713,134,236.6641791,0.16,0.11,0.04,0.13,0.09,0.06,0.41
Boys Over Flowers,78,meloromance,851004500,139217,196,710.2908163,0.49,0.27,0.08,0.09,0.05,0.02,0.01
NANA,79,drama,438460500,71392,87,820.5977011,0.42,0.29,0.05,0.18,0.04,0.01,0.02
I am the King,80,historicaldrama,5455343404,790181,471,1677.666667,0.58,0.13,0.13,0.09,0.04,0.02,0.01
I am Legend,81,sf,16084527000,2460225,447,5503.85906,0.16,0.19,0.06,0.27,0.04,0.02,0.27
"The Chronicles of Narnia : TheLion, the Witch & the Wardrobe",82,family,13232904500,2168613,275,7885.865455,0.42,0.17,0.11,0.18,0.07,0.02,0.03
The Chronicles of Narnia : The Voyage of The Dawn Treader,83,fantasy,11276008290,1182228,502,2355.035857,0.39,0.23,0.12,0.16,0.05,0.01,0.04
The Butterfly Effect,84,drama,6263521000,957728,108,8867.851852,0.22,0.42,0.04,0.12,0.04,0.02,0.15
Now You See Me,85,crime,19146691869,2718227,691,3933.758321,0.36,0.34,0.11,0.09,0.04,0.01,0.05
Whatch a Wear in',86,meloromance,13896872616,1831725,552,3318.342391,0.48,0.25,0.11,0.1,0.04,0.02,0.01
My Wedding Campaign,87,drama,3860195500,632553,237,2669,0.35,0.38,0.12,0.11,0.02,0.01,0
Knight & Day,88,action,17054262425,2282191,501,4555.271457,0.65,0.12,0.09,0.06,0.03,0.01,0.03
Antarctic Journal,89,thriller,5478113500,871235,244,3570.635246,0.13,0.14,0.09,0.24,0.11,0.05,0.24
How to Use Guys with Secret Tips,90,comedy,3606480257,507890,372,1365.295699,0.52,0.18,0.09,0.09,0.06,0.05,0.01
South Bound,91,comedy,5970851500,832894,428,1946.014019,0.48,0.17,0.13,0.11,0.06,0.03,0.01
Confession of Murder,92,action,20392346000,2729808,547,4990.508227,0.24,0.37,0.06,0.07,0.06,0.07,0.13
My Dear Desperado,93,drama,5109441315,699973,248,2822.471774,0.49,0.3,0.05,0.09,0.03,0.03,0.01
A Moment To Remember,94,meloromance,11919939500,1885827,206,9154.5,0.13,0.39,0.07,0.37,0.02,0.01,0
Closer To Heaven,95,drama,15764312409,2160265,474,4557.521097,0.12,0.31,0.12,0.38,0.04,0.02,0.01
100 Days With Mr. Arrogant,96,comedy,1836153500,296125,22,13460.22727,0.36,0.16,0.09,0.17,0.12,0.1,0.01
All For Love,97,meloromance,14710541000,2290709,296,7738.881757,0.36,0.4,0.06,0.15,0.02,0.01,0.01
National Treasure : The Book Of Secrets,98,action,11356730500,1745669,365,4782.654795,0.36,0.13,0.17,0.14,0.05,0.01,0.15
Wind struck,99,meloromance,8329341500,1298666,185,7019.816216,0.24,0.29,0.06,0.24,0.11,0.05,0.01
My Name Is Khan,100,drama,2820922500,381243,84,4538.607143,0.14,0.55,0.07,0.16,0.04,0.03,0.01
You're My Sunshine!,101,meloromance,17653958500,3051134,306,9971.026144,0.1,0.49,0.05,0.32,0.02,0.01,0.01
You're My Pet,102,meloromance,3810103000,543313,341,1593.293255,0.5,0.19,0.08,0.11,0.06,0.05,0.01
No Breathing,103,sports,2991824739,451669,584,773.4058219,0.48,0.23,0.08,0.11,0.05,0.02,0.03
Knowing,104,sf,6984051785,1063955,394,2700.393401,0.21,0.16,0.08,0.22,0.09,0.04,0.2
The Strangers,105,horror,1571432000,248943,180,1383.016667,0.06,0.12,0.07,0.14,0.05,0.08,0.47
The Note book,106,meloromance,2750069500,425919,101,4217.019802,0.11,0.65,0.08,0.14,0.02,0,0
Who Slept With Her,107,comedy,2068632100,353360,212,1666.792453,0.3,0.35,0.08,0.1,0.07,0.09,0.01
Tears For You,108,drama,693839500,113122,144,785.5694444,0.15,0.2,0.11,0.46,0.04,0.04,0.01
The Twilight Saga : New Moon,109,fantasy,13988362067,1949027,532,3663.584586,0.36,0.15,0.14,0.2,0.09,0.04,0.03
Wolf Children,110,fantasy,2322956761,337729,226,1494.376106,0.25,0.45,0.06,0.18,0.05,0.01,0.01
Romance Of Their Own,111,drama,8025959500,1297296,123,10547.12195,0.42,0.24,0.04,0.21,0.05,0.03,0
Ninja Assassin,112,action,1040398634,1345025,324,4151.311728,0.32,0.22,0.04,0.09,0.06,0.22,0.05
Sunny,113,drama,11211235000,1706576,499,3419.991984,0.19,0.37,0.08,0.22,0.12,0.01,0.01
Heavenly Forest,114,meloromance,379535000,61796,14,4414,0.14,0.53,0.09,0.21,0.02,0.01,0
The DaVinci Code,115,mystery,18873057800,3022936,514,5881.198444,0.28,0.17,0.22,0.14,0.06,0.02,0.11
Dasepo Naughty Girl,116,comedy,2862531600,476732,199,2395.638191,0.17,0.15,0.09,0.24,0.2,0.15,0.01
Live Free Or Die Hard,117,action,20622308900,3176937,528,6016.926136,0.36,0.26,0.08,0.09,0.06,0.04,0.11
A Good Day to Die Hard,118,action,10825703000,1438056,459,3133.019608,0.33,0.2,0.09,0.15,0.12,0.07,0.04
DachimawaLee,119,action,4131701167,628508,299,2102.033445,0.48,0.13,0.09,0.13,0.11,0.05,0.01
The Dark Knight,120,crime,27059471306,4087355,462,8847.088745,0.16,0.45,0.08,0.1,0.07,0.03,0.11
The Dark Knight Rises,121,action,47644838000,6396528,1210,5286.386777,0.2,0.44,0.1,0.13,0.07,0.02,0.05
DOCTOR,122,thriller,495574500,68312,163,419.0920245,0.16,0.12,0.03,0.12,0.13,0.14,0.29
My Scary Girl,123,thriller,13426707100,2077590,246,8445.487805,0.48,0.25,0.04,0.07,0.03,0.06,0.07
Lost And Found,124,meloromance,3116983744,470256,339,1387.185841,0.54,0.18,0.12,0.09,0.04,0.03,0.01
A Bitter sweet Life,125,action,7234813100,1112855,265,4199.45283,0.34,0.33,0.03,0.11,0.09,0.06,0.04
Wicker Park,126,drama,892915500,138103,103,1340.805825,0.19,0.48,0.06,0.12,0.04,0.02,0.09
Korea 1%,127,drama,2280762516,447569,287,1559.473868,0.36,0.23,0.09,0.14,0.08,0.07,0.02
Dancing Princess,128,drama,11674131000,1856759,240,7736.495833,0.38,0.35,0.07,0.15,0.03,0.02,0
Dancing Queen,129,comedy,30129259500,4057546,534,7598.400749,0.4,0.36,0.1,0.11,0.02,0.01,0
The Road,130,sf,1303099693,176152,172,1024.139535,0.14,0.29,0.13,0.2,0.09,0.04,0.11
The Reader,131,drama,2980253983,457343,242,1889.847107,0.06,0.56,0.05,0.25,0.04,0.01,0.02
Moon,132,sf,103466465,14331,46,311.5434783,0.16,0.33,0.14,0.2,0.04,0.03,0.1
Shooter,133,action,3428161000,511190,157,3255.987261,0.45,0.14,0.09,0.1,0.05,0.05,0.13
The Thing,134,horror,367519589,50839,174,292.1781609,0.15,0.17,0.04,0.08,0.08,0.04,0.43
The Wolverine,135,action,7849518000,1075333,707,1520.980198,0.31,0.19,0.11,0.17,0.13,0.05,0.05
The Impossible,136,action,4459497500,625058,408,1532.004902,0.13,0.34,0.09,0.25,0.03,0.07,0.08
The Jacket,137,thriller,582377500,87837,149,589.5100671,0.24,0.29,0.12,0.14,0.04,0.03,0.15
The Call,138,thriller,626952634,88953,241,369.0995851,0.2,0.11,0.04,0.09,0.04,0.04,0.47
Death Note,139,crime,3703565500,646602,177,3653.118644,0.42,0.15,0.09,0.16,0.09,0.03,0.06
Death Note : The Last Name,140,crime,3170579500,563056,218,2582.825688,0.31,0.4,0.06,0.1,0.05,0.03,0.05
Final Destination 3,141,horror,2299753200,359517,131,2744.40458,0.13,0.12,0.08,0.08,0.02,0.29,0.27
Daisy,142,meloromance,5754065300,911420,299,3048.227425,0.18,0.4,0.11,0.24,0.04,0.02,0.01
DejaVu,143,action,4763669500,778323,201,3872.253731,0.27,0.27,0.1,0.13,0.03,0.02,0.19
SILENCED,144,drama,35566854800,4662822,644,7240.406832,0.05,0.1,0.04,0.36,0.28,0.11,0.06
The Thieves,145,action,93665568500,12983330,1072,12111.3153,0.42,0.24,0.1,0.14,0.05,0.02,0.04
Doremipasolrasido,146,drama,1182401000,199151,167,1192.520958,0.43,0.21,0.05,0.23,0.05,0.02,0.01
The Taste Of Money,147,drama,8780178611,1166018,643,1813.402799,0.24,0.25,0.08,0.18,0.14,0.08,0.04
Don't Cry Mommy,148,thriller,6808882099,975462,444,2196.986486,0.15,0.1,0.05,0.27,0.28,0.1,0.06
My Tutor Friend Lesson II,149,comedy,3309177500,514669,262,1964.385496,0.53,0.14,0.12,0.11,0.06,0.03,0
Two Faces Of My Girl friend,150,meloromance,4586849000,700417,382,1833.552356,0.48,0.29,0.06,0.11,0.02,0.02,0.01
Doomsday,151,sf,598350500,90666,203,446.6305419,0.24,0.13,0.04,0.1,0.15,0.17,0.18
How To Train Your Dragon,152,comedy,27471926367,2603857,562,4633.197509,0.47,0.35,0.05,0.07,0.02,0.01,0.03
Dragonball Evolution,153,action,2695732696,425571,278,1530.830935,0.19,0.15,0.08,0.23,0.19,0.14,0.02
Drag Me To Hell,154,horror,1873729372,277224,242,1145.553719,0.22,0.15,0.03,0.09,0.05,0.04,0.42
Dreamer : Inspired By A True Story,155,drama,1706200100,276760,188,1472.12766,0.2,0.49,0.23,0.05,0.01,0,0.02
Dream girls,156,drama,4504550100,716673,132,5429.340909,0.29,0.37,0.15,0.08,0.03,0.01,0.07
The Descent,157,horror,1547497100,232454,181,1284.276243,0.1,0.14,0.05,0.09,0.05,0.06,0.5
This Means War,158,action,6661435000,873396,351,2488.307692,0.66,0.14,0.07,0.07,0.04,0.01,0.01
District 9,159,sf,6518492154,853859,320,2668.309375,0.22,0.36,0.06,0.12,0.1,0.09,0.06
Dear John,160,drama,1440264401,192530,262,734.8473282,0.14,0.46,0.07,0.21,0.08,0.02,0.01
D-War,161,action,49340084700,7855474,622,12629.37942,0.31,0.31,0.05,0.17,0.09,0.04,0.03
The Departed,162,drama,3416653400,552968,210,2633.180952,0.2,0.23,0.12,0.19,0.09,0.06,0.11
Hot Fuzz,163,comedy,566783500,85165,106,803.4433962,0.49,0.16,0.07,0.05,0.07,0.1,0.06
Radio Star,164,drama,9860797500,1590685,244,6519.20082,0.32,0.43,0.08,0.13,0.03,0.01,0.01
Ratatouille,165,drama,6342436400,1025205,261,3927.988506,0.5,0.35,0.05,0.06,0.02,0.01,0.01
The Last God father,166,comedy,16832542997,2316099,547,4234.184644,0.47,0.12,0.1,0.14,0.1,0.05,0.01
The Last Airbender,167,action,14078896543,1394110,396,3520.479798,0.28,0.11,0.15,0.21,0.16,0.07,0.02
The Last Exorcism,168,horror,734954077,104936,171,613.6608187,0.07,0.11,0.04,0.11,0.05,0.05,0.58
Tangled,169,comedy,10161464800,1011163,328,3082.814024,0.46,0.38,0.06,0.07,0.02,0.01,0.01
Running Scared,170,action,305452000,47988,100,479.88,0.24,0.3,0.07,0.06,0.04,0.05,0.25
Lucky Number Slevin,171,thriller,2238839400,360516,120,3004.3,0.25,0.45,0.11,0.05,0.06,0.01,0.07
Running man,172,action,10060239500,1422844,567,2509.425044,0.49,0.18,0.1,0.07,0.04,0.02,0.11
Red,173,action,3607106025,489855,322,1521.28882,0.61,0.13,0.09,0.07,0.04,0.01,0.04
Red Riding Hood,174,drama,2728562500,362572,249,1456.11245,0.21,0.33,0.08,0.12,0.04,0.05,0.16
Resident Evil : Apocalypse,175,action,2367612000,363273,100,3632.73,0.35,0.17,0.02,0.09,0.05,0.05,0.28
Resident Evil : Extinction,176,action,3591648000,534877,240,2228.654167,0.3,0.15,0.05,0.16,0.07,0.03,0.25
Resident Evil : After life,177,horror,14767125516,1209538,335,3610.561194,0.25,0.13,0.07,0.24,0.1,0.06,0.15
Resident Evil : Retribution,178,action,4757460500,558433,368,1517.480978,0.27,0.12,0.07,0.15,0.14,0.07,0.17
Letters To Juliet,179,meloromance,4343347481,593630,284,2090.246479,0.27,0.53,0.13,0.04,0.03,0,0
Let The Right One In,180,horror,587407378,87908,50,1758.16,0.11,0.42,0.07,0.16,0.06,0.07,0.1
Let Me In,181,drama,1158654342,169072,220,768.5090909,0.21,0.33,0.07,0.16,0.06,0.06,0.1
The Holiday,182,comedy,7345919000,1165157,249,4679.345382,0.43,0.31,0.15,0.08,0.02,0.01,0.01
Rocky Balboa,183,drama,1233424500,196971,193,1020.57513,0.18,0.49,0.11,0.12,0.05,0.01,0.03
The Lone Ranger,184,action,2750149500,387527,401,966.4014963,0.44,0.12,0.2,0.11,0.07,0.03,0.02
Fasten Your Seat belt,185,comedy,1913087600,270148,374,722.3208556,0.56,0.12,0.08,0.12,0.07,0.04,0.02
Looper,186,sf,4265566000,571922,386,1481.663212,0.27,0.26,0.12,0.13,0.06,0.04,0.11
Limitless,187,mystery,870473000,121538,164,741.0853659,0.41,0.2,0.09,0.15,0.06,0.02,0.08
Real Steel,188,action,26566677000,3569666,603,5919.844113,0.33,0.36,0.14,0.07,0.04,0.01,0.05
Return,189,mystery,4271881500,641852,235,2731.285106,0.12,0.4,0.07,0.09,0.02,0.02,0.28
The Reaping,190,sf,4225944500,656562,150,4377.08,0.14,0.35,0.08,0.07,0.05,0.02,0.29
"Leafie, A Henin to the Wild",191,drama,14669905500,2201722,345,6381.802899,0.21,0.47,0.05,0.22,0.03,0.01,0.01
Mother,192,drama,20192373838,3013523,648,4650.498457,0.16,0.31,0.09,0.15,0.05,0.07,0.17
The Borrowers,193,drama,7773942882,1083746,337,3215.863501,0.29,0.32,0.06,0.27,0.04,0.01,0.01
Marine Boy,194,action,5565284169,837059,340,2461.938235,0.34,0.21,0.11,0.15,0.06,0.03,0.1
The Sorcerer's Apprentice,195,drama,4132049517,582698,298,1955.362416,0.38,0.18,0.13,0.13,0.1,0.03,0.04
Heart Is,196,drama,4639709300,817939,239,3422.338912,0.09,0.33,0.06,0.46,0.03,0.02,0.01
Hearty Paws2,197,drama,4705692210,707748,261,2711.678161,0.44,0.33,0.05,0.12,0.04,0.01,0.01
My little hero,198,drama,1302907128,185978,341,545.3900293,0.24,0.45,0.15,0.11,0.02,0.01,0.02
Little Black Dress,199,drama,2318884500,313953,325,966.0092308,0.36,0.25,0.07,0.13,0.09,0.08,0.01
My Way,200,war,15994803000,2142622,645,3321.894574,0.22,0.31,0.13,0.18,0.09,0.06,0.02
Michael Jackson's This Is It,201,drama,980053035,130746,176,742.875,0.16,0.49,0.05,0.21,0.04,0.03,0.01
Underground Rendez-vous,202,comedy,781928400,1211528,256,4732.53125,0.48,0.13,0.11,0.17,0.06,0.04,0.02
Late Autumn,203,meloromance,6300514500,844103,444,1901.132883,0.21,0.38,0.14,0.18,0.06,0.02,0.01
Malaton,204,drama,26285057000,4196859,238,17633.86134,0.24,0.5,0.05,0.18,0.02,0.01,0.01
Spirit Of Jeet Keun Do,205,action,3837152000,604969,40,15124.225,0.3,0.29,0.03,0.12,0.14,0.1,0.02
Bare foot Gi Bong,206,drama,12239242400,2005180,271,7399.188192,0.25,0.39,0.12,0.17,0.03,0.02,0.01
A Bare foot Dream,207,drama,2413427097,338080,333,1015.255255,0.29,0.51,0.06,0.1,0.02,0.01,0.02
Man On ALedge,208,crime,4393531500,591841,408,1450.590686,0.22,0.17,0.15,0.1,0.04,0.02,0.31
Man On Fire,209,action,1984024500,307751,61,5045.098361,0.24,0.35,0.07,0.12,0.12,0.05,0.04
Men In Black3,210,action,27301520070,3379762,770,4389.301299,0.38,0.28,0.12,0.14,0.05,0.01,0.02
Money ball,211,drama,4677562000,641099,385,1665.192208,0.24,0.37,0.22,0.08,0.05,0.01,0.03
Megamind,212,comedy,8688175500,875481,414,2114.688406,0.49,0.23,0.1,0.06,0.1,0,0.01
Detective Conan Movie16 - The Eleventh Striker,213,crime,3363777000,524914,350,1499.754286,0.54,0.2,0.06,0.08,0.05,0.01,0.05
Detective Conan : The Lost Ship In The Sky,214,family,4065925171,628423,234,2685.568376,0.43,0.36,0.04,0.07,0.03,0.01,0.06
Detective Conan : The Raven Chaser,215,mystery,4248881868,661550,200,3307.75,0.39,0.3,0.05,0.1,0.04,0.01,0.11
Detective Conan : Quarter Of Silence,216,crime,4212992000,644652,275,2344.189091,0.39,0.32,0.05,0.11,0.04,0.01,0.07
Monopoly,217,crime,2195709100,358299,136,2634.551471,0.17,0.44,0.13,0.12,0.05,0.02,0.07
Law Abiding Citizen,218,thriller,5933122225,807486,309,2613.223301,0.22,0.14,0.05,0.26,0.14,0.09,0.1
Un stoppable Marriage,219,comedy,7712339500,1188326,299,3974.334448,0.58,0.14,0.12,0.09,0.04,0.03,0
Wet Dreams 2,220,comedy,5110555000,813164,147,5531.727891,0.19,0.11,0.1,0.24,0.16,0.19,0.01
The Promise,221,meloromance,4308635500,685561,190,3608.215789,0.28,0.22,0.08,0.24,0.12,0.05,0.01
Theoutlow,222,drama,1241201107,163334,192,850.6979167,0.22,0.14,0.04,0.15,0.15,0.22,0.08
Horror Stories II,223,mystery,3393667500,495522,337,1470.391691,0.16,0.09,0.04,0.17,0.04,0.03,0.47
A Better Tomorrow,224,drama,11816488677,1571432,416,3777.480769,0.27,0.21,0.12,0.2,0.12,0.06,0.01
Battle Of Wits,225,war,1757316000,289772,189,1533.185185,0.37,0.19,0.15,0.18,0.05,0.04,0.02
Munich,226,thriller,4861581300,763078,164,4652.914634,0.11,0.15,0.24,0.15,0.14,0.11,0.1
200 Pounds Beauty,227,meloromance,36292848900,6081480,418,14548.99522,0.42,0.32,0.07,0.16,0.02,0.01,0.02
Midnight In Paris,228,comedy,2638444898,355851,189,1882.809524,0.4,0.39,0.08,0.08,0.04,0,0.01
Mission : Impossible : Ghost Protocol,229,action,57795846000,7575899,1038,7298.55395,0.32,0.24,0.11,0.09,0.03,0.01,0.19
Mission : Impossible III,230,action,32155201400,5127047,441,11625.95692,0.3,0.28,0.07,0.11,0.03,0.03,0.18
Little Miss Sunshine,231,comedy,173187000,26251,8,3281.375,0.46,0.29,0.05,0.14,0.03,0.02,0.01
Mr. Go,232,comedy,9337990000,1328890,840,1582.011905,0.42,0.28,0.08,0.11,0.06,0.04,0.02
Mr. & Mrs. Smith,233,meloromance,18900071500,2963193,302,9811.897351,0.5,0.15,0.16,0.07,0.07,0.02,0.03
Mr. Socrates,234,action,6765653000,1066103,205,5200.502439,0.52,0.15,0.1,0.11,0.06,0.05,0.01
Miss Conspirator,235,action,4441859000,611685,440,1390.193182,0.37,0.13,0.12,0.2,0.11,0.06,0.01
Portrait of a Beauty,236,historicaldrama,15531621371,2325715,463,5023.142549,0.14,0.43,0.06,0.23,0.09,0.04,0.01
Don__t Click,237,horror,5939840500,867386,361,2402.731302,0.11,0.14,0.05,0.14,0.03,0.03,0.5
Million Dollar Baby,238,drama,4674787179,724732,159,4558.062893,0.14,0.45,0.07,0.26,0.04,0.02,0.01
